dbms,label,iteration,execution_time,response_time
aquery,with_trigger_insert,10,0.000780,0.371978
aquery,with_trigger_insert,11,0.000776,0.369407
aquery,without_trigger_insert,1,0.000745,0.268462
aquery,without_trigger_insert,2,0.000739,0.270888
aquery,without_trigger_insert,3,0.000765,0.377948
aquery,without_trigger_insert,4,0.000753,0.284272
aquery,without_trigger_insert,5,0.000764,0.281960
aquery,without_trigger_insert,6,0.000761,0.272772
aquery,without_trigger_insert,7,0.000741,0.284770
aquery,without_trigger_insert,8,0.000853,0.282846
aquery,without_trigger_insert,9,0.000767,0.281256
aquery,without_trigger_insert,10,0.000730,0.269779
aquery,without_trigger_insert,11,0.000701,0.270710
aquery,with_trigger_insert,1,0.001148,21.605282
aquery,with_trigger_insert,2,0.000825,21.172550
aquery,with_trigger_insert,3,0.000842,21.273831
aquery,with_trigger_insert,4,0.000832,21.448169
aquery,with_trigger_insert,5,0.001163,21.490416
aquery,with_trigger_insert,6,0.001097,21.499813
aquery,with_trigger_insert,7,0.000982,21.562105
aquery,with_trigger_insert,8,0.000886,21.360329
aquery,with_trigger_insert,9,0.000916,21.413277
aquery,with_trigger_insert,10,0.000956,21.481873
aquery,with_trigger_insert,11,0.001017,21.484091
aquery,without_trigger_insert,1,0.000986,16.242595
aquery,without_trigger_insert,2,0.000825,16.070256
aquery,without_trigger_insert,3,0.000817,16.036141
aquery,without_trigger_insert,4,0.001055,16.041419
aquery,without_trigger_insert,5,0.000965,16.117858
aquery,without_trigger_insert,6,0.000828,16.003137
aquery,without_trigger_insert,7,0.000963,16.153783
aquery,without_trigger_insert,8,0.000894,16.120967
aquery,without_trigger_insert,9,0.000859,15.924957
aquery,without_trigger_insert,10,0.000871,16.082692
aquery,without_trigger_insert,11,0.000949,16.098007
